일시,충격,온도,습도,속도
2025-03-03 23:58:48,1.0,19.5,22.8,0
2025-03-03 23:58:17,1.0,19.5,22.8,0
2025-03-03 23:57:47,1.0,19.4,22.9,0
2025-03-03 23:57:17,1.0,19.4,23.0,0
2025-03-03 23:56:46,1.0,19.4,23.1,0
2025-03-03 23:56:16,1.0,19.4,23.0,0
2025-03-03 23:55:46,1.0,19.3,23.0,0
2025-03-03 23:55:16,1.0,19.4,23.1,0
2025-03-03 23:54:45,1.0,19.4,23.1,0
2025-03-03 23:54:15,1.0,19.3,23.0,0
2025-03-03 23:53:45,1.0,19.3,23.2,0
2025-03-03 23:53:14,1.0,19.3,23.1,0
2025-03-03 23:52:44,1.0,19.2,23.2,0
2025-03-03 23:52:14,1.0,19.2,23.2,0
2025-03-03 23:51:43,1.0,19.2,23.3,0
2025-03-03 23:51:13,1.0,19.2,23.3,0
2025-03-03 23:50:43,1.0,19.2,23.3,0
2025-03-03 23:50:13,1.0,19.1,23.2,0
2025-03-03 23:49:42,1.0,19.1,23.2,0
2025-03-03 23:49:12,1.0,19.1,23.3,0
2025-03-03 23:48:42,1.0,19.1,23.2,0
2025-03-03 23:48:11,1.0,19.1,23.3,0
2025-03-03 23:47:41,1.0,19.1,23.3,0
2025-03-03 23:47:11,1.0,19.2,23.3,0
2025-03-03 23:46:40,1.0,19.0,23.2,0
2025-03-03 23:46:10,1.0,19.1,23.4,0
2025-03-03 23:45:40,1.0,19.1,23.2,0
2025-03-03 23:45:10,1.0,19.0,23.2,0
2025-03-03 23:44:39,1.0,19.0,23.4,0
2025-03-03 23:44:09,1.0,19.0,23.3,0
2025-03-03 23:43:39,1.0,18.9,23.2,0
2025-03-03 23:43:08,1.0,19.0,23.2,0
2025-03-03 23:42:38,1.0,19.0,23.3,0
2025-03-03 23:42:08,1.0,18.9,23.2,0
2025-03-03 23:41:37,1.0,19.1,23.2,0
2025-03-03 23:41:07,1.0,19.0,23.3,0
2025-03-03 23:40:37,1.0,19.1,23.1,0
2025-03-03 23:40:06,1.0,19.1,23.2,0
2025-03-03 23:39:36,1.0,19.2,23.1,0
2025-03-03 23:39:06,1.0,19.2,23.0,0
2025-03-03 23:38:36,1.0,19.3,22.9,0
2025-03-03 23:38:05,1.0,19.3,22.9,0
2025-03-03 23:37:35,1.0,19.3,22.9,0
2025-03-03 23:37:05,1.0,19.4,22.8,0
2025-03-03 23:36:34,1.0,19.3,22.9,0
2025-03-03 23:36:04,1.0,19.4,23.0,0
2025-03-03 23:35:34,1.0,19.4,23.1,0
2025-03-03 23:35:03,1.0,19.4,23.1,0
2025-03-03 23:34:33,1.0,19.3,23.1,0
2025-03-03 23:34:03,1.0,19.4,23.1,0
2025-03-03 23:33:33,1.0,19.4,23.2,0
2025-03-03 23:33:02,1.0,19.3,23.1,0
2025-03-03 23:32:32,1.0,19.3,23.1,0
2025-03-03 23:32:02,1.0,19.2,23.3,0
2025-03-03 23:31:31,1.0,19.2,23.2,0
2025-03-03 23:31:01,1.0,19.2,23.3,0
2025-03-03 23:30:31,1.0,19.3,23.2,0
2025-03-03 23:30:00,1.0,19.2,23.3,0
2025-03-03 23:29:30,1.0,19.2,23.3,0
2025-03-03 23:29:00,1.0,19.2,23.3,0
2025-03-03 23:28:30,1.0,19.2,23.3,0
2025-03-03 23:27:59,1.0,19.2,23.4,0
2025-03-03 23:27:29,1.0,19.1,23.3,0
2025-03-03 23:26:59,1.0,19.1,23.3,0
2025-03-03 23:26:28,1.0,19.1,23.3,0
2025-03-03 23:25:58,1.0,19.0,23.2,0
2025-03-03 23:25:28,1.0,19.1,23.4,0
2025-03-03 23:24:58,1.0,19.0,23.4,0
2025-03-03 23:24:27,1.0,18.9,23.4,0
2025-03-03 23:23:57,1.0,19.0,23.4,0
2025-03-03 23:23:27,1.0,19.0,23.4,0
2025-03-03 23:22:56,1.0,18.9,23.3,0
2025-03-03 23:22:26,1.0,19.0,23.3,0
2025-03-03 23:21:56,1.0,19.1,23.4,0
2025-03-03 23:20:55,1.0,19.1,23.3,0
2025-03-03 23:20:25,1.0,19.1,23.2,0
2025-03-03 23:19:55,1.0,19.0,23.3,0
2025-03-03 23:19:24,1.0,19.0,23.3,0
2025-03-03 23:18:54,1.0,19.1,23.2,0
2025-03-03 23:18:24,1.0,19.1,23.3,0
2025-03-03 23:17:53,1.0,19.2,23.1,0
2025-03-03 23:17:23,1.0,19.2,23.0,0
2025-03-03 23:16:53,1.0,19.3,23.1,0
2025-03-03 23:16:23,1.0,19.3,22.9,0
2025-03-03 23:15:52,1.0,19.4,23.1,0
2025-03-03 23:15:22,1.0,19.4,22.9,0
2025-03-03 23:14:52,1.0,19.3,22.9,0
2025-03-03 23:14:21,1.0,19.4,23.1,0
