일시,충격,온도,습도,속도
2025-03-02 23:58:46,1.0,19.0,28.3,0
2025-03-02 23:58:16,1.0,19.0,28.5,0
2025-03-02 23:57:46,1.0,19.0,28.2,0
2025-03-02 23:57:15,1.0,19.1,28.4,0
2025-03-02 23:56:45,1.0,19.0,28.3,0
2025-03-02 23:56:15,1.0,18.9,28.3,0
2025-03-02 23:55:45,1.0,19.0,28.3,0
2025-03-02 23:55:14,1.0,18.9,28.3,0
2025-03-02 23:54:44,1.0,18.9,28.3,0
2025-03-02 23:54:27,1.0,18.9,28.2,0
2025-03-02 23:53:57,1.0,19.0,28.4,0
2025-03-02 23:53:26,1.0,18.9,28.1,0
2025-03-02 23:52:56,1.0,18.9,28.3,0
2025-03-02 23:52:26,1.0,18.9,28.3,0
2025-03-02 23:51:55,1.0,19.0,28.2,0
2025-03-02 23:51:25,1.0,19.1,28.1,0
2025-03-02 23:50:55,1.0,19.0,28.1,0
2025-03-02 23:50:25,1.0,19.0,28.1,0
2025-03-02 23:49:54,1.0,19.1,27.7,0
2025-03-02 23:49:24,1.0,19.2,27.8,0
2025-03-02 23:48:54,1.0,19.2,27.7,0
2025-03-02 23:48:24,1.0,19.2,26.7,0
2025-03-02 23:47:53,1.0,19.2,27.2,0
2025-03-02 23:47:23,1.0,19.4,27.3,0
2025-03-02 23:46:53,1.0,19.3,27.6,0
2025-03-02 23:46:23,1.0,19.2,27.7,0
2025-03-02 23:45:52,1.0,19.2,28.1,0
2025-03-02 23:44:21,1.0,19.2,28.2,0
2025-03-02 23:43:51,1.0,19.2,28.1,0
2025-03-02 23:43:21,1.0,19.2,28.2,0
2025-03-02 23:42:50,1.0,19.2,28.1,0
2025-03-02 23:42:20,1.0,19.0,28.3,0
2025-03-02 23:41:50,1.0,19.1,28.3,0
2025-03-02 23:41:20,1.0,19.0,28.6,0
2025-03-02 23:40:49,1.0,19.1,28.4,0
2025-03-02 23:40:19,1.0,19.0,28.7,0
2025-03-02 23:39:49,1.0,19.1,28.3,0
2025-03-02 23:39:19,1.0,19.0,28.4,0
2025-03-02 23:38:48,1.0,19.0,28.4,0
2025-03-02 23:38:18,1.0,19.0,28.5,0
